DATETIME,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,day_of_week,month,is_weekend,hour,minute,settlement_period,lag_1,lag_48,rolling_mean_7d,wind_ratio,solar_ratio
2024-09-01 23:30:00,26668,33982,24272,1921,6488,0,16813,0,742,1092,-1936,-4,-744,-110,-197,-1011,-472,-695,-803,0,6,9,1,23,30,48,25662.0,24292.0,29409.20535714286,0.07914469347396176,0.0
2024-10-01 00:00:00,26359,34116,24057,1891,6488,0,16813,0,898,1034,-1880,-4,-857,-249,-111,-968,-640,-747,-803,0,1,10,0,0,0,1,24272.0,24152.0,29416.901785714286,0.07860497983954774,0.0
2024-10-01 00:30:00,27118,34800,24862,1861,6488,0,16813,0,892,1211,-1875,-4,-859,-275,-4,-966,-654,-750,-803,0,1,10,0,0,30,2,24057.0,24604.0,29426.366071428572,0.0748531896066286,0.0
2024-10-01 01:00:00,26983,34596,24743,1813,6488,0,16813,0,899,1479,-1797,-4,-1014,-275,0,-966,-566,-710,-782,0,1,10,0,1,0,3,24862.0,24190.0,29435.95238095238,0.07327324899971709,0.0
2024-10-01 01:30:00,26350,34174,24206,1764,6488,0,16813,0,1143,1648,-1790,-4,-1015,-275,0,-966,-549,-703,-779,0,1,10,0,1,30,4,24743.0,23623.0,29445.032738095237,0.0728744939271255,0.0
2024-10-01 02:00:00,26028,33465,23948,1740,6488,0,16813,0,1141,1623,-1616,-4,-1016,-275,0,-957,-463,-586,-779,0,1,10,0,2,0,5,24206.0,23290.0,29454.196428571428,0.07265742441957575,0.0
2024-10-01 02:30:00,25880,33297,23697,1715,6488,0,16813,0,1143,1313,-1607,-4,-1016,-274,0,-956,-455,-583,-779,0,1,10,0,2,30,6,23948.0,22951.0,29463.276785714286,0.07237203021479512,0.0
2024-10-01 03:00:00,25222,32859,23024,1698,6488,0,16813,0,1128,1271,-1679,-4,-1016,-220,0,-956,-493,-762,-779,0,1,10,0,3,0,7,23697.0,22654.0,29471.04464285714,0.07374913134120917,0.0
2024-10-01 03:30:00,25112,32851,22870,1681,6488,0,16813,0,1082,1306,-1688,-4,-1015,-309,0,-956,-526,-780,-779,0,1,10,0,3,30,8,23024.0,22324.0,29479.410714285714,0.0735024048972453,0.0
2024-10-01 04:00:00,24997,33162,22767,1677,6488,0,16813,0,900,1411,-1985,-4,-779,-224,0,-1009,-894,-991,-779,0,1,10,0,4,0,9,22870.0,22062.0,29487.785714285714,0.07365924364211358,0.0
2024-10-01 04:30:00,24834,32771,22630,1673,6488,0,16813,0,564,1309,-2003,-4,-762,-197,-40,-1011,-971,-1006,-779,0,1,10,0,4,30,10,22767.0,22103.0,29495.339285714286,0.07392841361025188,0.0
2024-10-01 05:00:00,25499,32994,23241,1680,6488,0,16813,0,406,1453,-2051,-4,-187,-56,-1,-1021,-1364,-1007,-798,0,1,10,0,5,0,11,22630.0,22644.0,29503.75,0.07228604621143668,0.0
2024-10-01 05:30:00,26741,33777,24404,1686,6488,0,16813,0,39,1490,-2054,-4,-149,67,29,-1018,-1383,-994,-795,0,1,10,0,5,30,12,23241.0,23760.0,29513.383928571428,0.06908703491230946,0.0
2024-10-01 06:00:00,29628,34887,27102,1667,6488,0,16813,0,15,1828,-2050,-4,355,217,172,-569,-989,-545,-487,0,1,10,0,6,0,13,24404.0,26536.0,29524.425595238095,0.06150837576562615,0.0
2024-10-01 06:30:00,32123,37219,29412,1648,6488,0,16813,0,12,1919,-2051,-4,398,346,301,-549,-910,-516,-454,0,1,10,0,6,30,14,27102.0,29278.0,29536.651785714286,0.05603155174758602,0.0
2024-10-01 07:00:00,34757,38740,31714,1627,6488,0,16813,0,85,2001,-2054,-4,575,293,208,-172,-524,-514,-30,0,1,10,0,7,0,15,29412.0,32406.0,29549.181547619046,0.05130226398436022,0.0
2024-10-01 07:30:00,36331,40071,33089,1606,6488,0,16813,0,11,2027,-2012,-4,582,154,101,-158,-446,-509,0,0,1,10,0,7,30,16,31714.0,34027.0,29562.166666666668,0.04853576717338088,0.0
